휴게소명,도로명,경도,위도
동해(삼척),동해선(삼척-속초),129.07442,37.60118
옥계(속초),동해선(삼척-속초),129.0579374,37.616184
구정(주문진),동해선(삼척-속초),128.85376,37.722789
구정(동해),동해선(삼척-속초),128.85147,37.72247
장안(부산),부산울산선,126.79982,36.258579
장안(울산),부산울산선,126.79707,36.257889
외동(울산),동해선(부산-포항),127.103574,37.264189
외동(포항),동해선(부산-포항),127.406646,37.264224
서하남(판교),수도권제1순환선,128.346929,35.29368
구리(퇴계원),수도권제1순환선,127.136989,37.6278276
시흥하늘(구리),수도권제1순환선,128.447515,36.409546
시흥하늘(일산),수도권제1순환선,129.011888,36.45673
장유(부산),남해2지선,128.7913896,35.2120733
부여(동서천),서천공주선,126.57778,35.34305
부여(서공주),서천공주선,126.99032,36.398469
청양(서공주),서천공주선,126.99292,36.39954
청양(동서천),서천공주선,126.99682,36.52339
계룡(대전),호남지선,127.2883,36.26248
벌곡(논산),호남지선,127.27396,36.21781
양촌(대전),호남지선,127.2289116,36.1300804
벌곡(회덕),호남지선,128.40367,35.76715
현풍(대구),중부내륙지선,128.4375,35.70234
현풍(현풍),중부내륙지선,128.436029,35.7022
