노선번호,도로명,이정,X좌표값,Y좌표값,GRS80X좌표값,GRS80Y좌표값
500,영동선,142.8,37.44690562,128.0657521,294307.714,539144.7034
500,영동선,142.9,37.4467486,128.0668647,294406.3723,539128.3906
500,영동선,143,37.44659396,128.0679779,294505.0726,539112.3418
500,영동선,143.1,37.44644294,128.0690918,294603.8367,539096.6979
500,영동선,143.2,37.44629042,128.0702054,294702.577,539080.8888
500,영동선,143.3,37.44613245,128.0713178,294801.2138,539064.4742
500,영동선,143.4,37.44593757,128.0724208,294899.0663,539043.9547
500,영동선,143.5,37.44570235,128.0735115,294995.8806,539018.9459
500,영동선,143.6,37.4453994,128.0745754,295090.4138,538986.3945
500,영동선,143.7,37.44504983,128.0756166,295183.0027,538948.647
500,영동선,143.8,37.44469005,128.0766525,295275.1292,538909.761
500,영동선,143.9,37.44433182,128.0776892,295367.3252,538871.0493
500,영동선,144,37.44397412,128.0787262,295459.549,538832.3981
500,영동선,144.1,37.44361853,128.0797644,295551.8751,538793.9835
500,영동선,144.2,37.44326389,128.0808031,295644.2456,538755.675
500,영동선,144.3,37.44290543,128.0818397,295736.4374,538716.9416
500,영동선,144.4,37.44252889,128.0828661,295827.7507,538676.1932
500,영동선,144.5,37.44212267,128.0838745,295917.5146,538632.1326
500,영동선,144.6,37.44168988,128.0848654,296005.7584,538585.1047
500,영동선,144.7,37.44122744,128.085835,296092.1578,538534.7671
500,영동선,144.8,37.44076099,128.0868012,296178.2603,538483.9805
500,영동선,144.9,37.44027144,128.0877496,296262.8278,538430.6134
500,영동선,145,37.43978073,128.0886971,296347.3103,538377.1176
500,영동선,145.1,37.43929228,128.0896465,296431.9542,538323.8741
500,영동선,145.2,37.43886024,128.0906371,296520.1821,538276.9361
500,영동선,145.3,37.43854515,128.0916942,296614.1434,538243.0474
500,영동선,145.4,37.43836623,128.0928005,296712.2775,538224.3233
500,영동선,145.5,37.43833167,128.0939282,296812.1273,538221.6458
500,영동선,145.6,37.43843936,128.0950488,296911.1667,538234.7499
500,영동선,145.7,37.43868629,128.0961341,297006.8985,538263.2741
500,영동선,145.8,37.43906464,128.0971582,297097.0459,538306.3221
500,영동선,145.9,37.43957009,128.0980917,297179.0104,538363.385
500,영동선,146,37.44018628,128.0989145,297251.029,538432.6256
500,영동선,146.1,37.44089985,128.0996024,297310.985,538512.535
500,영동선,146.2,37.44168999,128.1001427,297357.7742,538600.7924
500,영동선,146.3,37.44253895,128.1005172,297389.8173,538695.4061
500,영동선,146.4,37.44342378,128.100724,297406.9696,538793.8286
500,영동선,146.5,37.44432333,128.1007528,297408.3519,538893.7009
500,영동선,146.6,37.44521556,128.1006032,297393.9595,538992.5765
500,영동선,146.7,37.44609603,128.1003644,297371.6857,539090.0542
500,영동선,146.8,37.44698183,128.1001608,297352.52,539188.1592
500,영동선,146.9,37.44788069,128.1001112,297346.9622,539287.8746
500,영동선,147,37.44877377,128.1002489,297357.9955,539387.141
500,영동선,147.1,37.44963887,128.1005598,297384.3866,539483.4812
500,영동선,147.2,37.45044933,128.1010501,297426.7151,539573.9414
500,영동선,147.3,37.45121494,128.1016453,297478.3914,539659.5336
500,영동선,147.4,37.45197114,128.1022595,297531.759,539744.1012
500,영동선,147.5,37.45272797,128.1028725,297585.0151,539828.7372
500,영동선,147.6,37.45348327,128.1034884,297638.535,539913.2082
500,영동선,147.7,37.4542385,128.1041045,297692.0683,539997.6712
500,영동선,147.8,37.454993,128.104722,297745.7263,540082.055
500,영동선,147.9,37.45574997,128.1053348,297798.9589,540166.7078
500,영동선,148,37.45650599,128.1059494,297852.3528,540251.2583
500,영동선,148.1,37.45728854,128.1065082,297900.7813,540338.6956
500,영동선,148.2,37.45811066,128.1069691,297940.4879,540430.4229
500,영동선,148.3,37.45896457,128.1073275,297971.0881,540525.5721
500,영동선,148.4,37.45984369,128.1075718,297991.5484,540623.4013
500,영동선,148.5,37.46073747,128.1077098,298002.5915,540722.747
500,영동선,148.6,37.46163762,128.1077349,298003.6444,540822.6828
500,영동선,148.7,37.46253541,128.107649,297994.8679,540922.2409
500,영동선,148.8,37.46342007,128.1074402,297975.2439,541020.2135
500,영동선,148.9,37.46428714,128.1071351,297947.1158,541116.1333
500,영동선,149,37.46512352,128.1067164,297908.9827,541208.5297
500,영동선,149.1,37.46593294,128.1062208,297864.079,541297.8533
500,영동선,149.2,37.46675343,128.1057555,297821.8479,541388.438
500,영동선,149.3,37.46761979,128.1054528,297793.942,541484.2822
500,영동선,149.4,37.46851677,128.1053702,297785.4657,541583.7546
500,영동선,149.5,37.46940923,128.1055098,297796.6504,541682.9547
500,영동선,149.6,37.47026286,128.1058649,297826.9559,541778.07
500,영동선,149.7,37.47104078,128.1064308,297876.0008,541865.0012
500,영동선,149.8,37.47171274,128.1071807,297941.466,541940.362
500,영동선,149.9,37.472257,128.1080793,298020.2476,542001.7062
500,영동선,150,37.47268619,128.1090719,298107.4875,542050.3767
500,영동선,150.1,37.47300246,128.1101294,298200.6217,542086.5826
500,영동선,150.2,37.47319842,128.1112316,298297.8703,542109.4825
500,영동선,150.3,37.473272,128.1123575,298397.3753,542118.8246
500,영동선,150.4,37.47322128,128.1134852,298497.1988,542114.3744
500,영동선,150.5,37.47304399,128.1145927,298595.4043,542095.8558
500,영동선,150.6,37.47274554,128.1156584,298690.0687,542063.8468
500,영동선,150.7,37.47236383,128.1166817,298781.0966,542022.5531
500,영동선,150.8,37.4719553,128.117689,298870.737,541978.2658
500,영동선,150.9,37.47154267,128.1186937,298960.1636,541933.5232
500,영동선,151,37.4711351,128.1197017,299049.8701,541889.3462
500,영동선,151.1,37.47071743,128.120703,299139.004,541844.0419
500,영동선,151.2,37.4702372,128.1216584,299224.1556,541791.7463
500,영동선,151.3,37.46965701,128.1225218,299301.3085,541728.26
500,영동선,151.4,37.46898438,128.1232714,299368.512,541654.3944
500,영동선,151.5,37.46825127,128.123928,299427.5681,541573.7172
500,영동선,151.6,37.46752459,128.1245945,299487.4977,541493.7659
500,영동선,151.7,37.46687528,128.1253766,299557.5499,541422.5237
500,영동선,151.8,37.46632437,128.1262697,299637.2889,541362.3219
500,영동선,151.9,37.46587795,128.1272499,299724.5977,541313.8103
500,영동선,152,37.46554659,128.1282999,299817.934,541278.1439
500,영동선,152.1,37.46529098,128.1293836,299914.1528,541250.9232
500,영동선,152.2,37.46503963,128.130469,300010.5068,541224.1765
500,영동선,152.3,37.46478211,128.1315518,300106.65,541196.7444
500,영동선,152.4,37.46452587,128.1326352,300202.8413,541169.456
500,영동선,152.5,37.46427198,128.1337195,300299.1164,541142.4305
500,영동선,152.6,37.46405903,128.1348174,300396.527,541119.9644
500,영동선,152.7,37.46392657,128.1359347,300495.5614,541106.4547
500,영동선,152.8,37.46388071,128.1370629,300595.433,541102.5694
500,영동선,152.9,37.46392799,128.1381911,300695.1897,541109.0228
500,영동선,153,37.46406183,128.1393084,300793.8571,541125.0731
500,영동선,153.1,37.46428574,128.1404026,300890.3585,541151.0964
500,영동선,153.2,37.46458987,128.1414657,300984.0057,541185.9914
500,영동선,153.3,37.46494983,128.1425016,301075.1713,541227.0561
500,영동선,153.4,37.46531887,128.1435326,301165.8847,541269.1238
